Feature	Gain	Cover	Frequency
ctrx_quarter	0.0547896410888036	0.00475203428468663	0.00169208732744644
vm_status05_delta2	0.0466706726558017	0.0029287755765471	0.000602068281626293
ctrx_quarter_normalizado_lag1	0.0456823088104009	0.00206189774734463	0.00145991720577356
ctrx_quarter_normalizado	0.0342677787860237	0.0037042822263018	0.00163306102532622
vm_status01	0.0292802160593404	0.00278767975654186	0.00121987691048465
ctarjeta_visa_transacciones	0.0223061992169971	0.00476487935239365	0.00143237159811745
Visa_delinquency	0.0205625203255872	0.00400402821063471	0.002624702900946
cdescubierto_preacordado	0.0170125756287256	0.00461137189525799	0.00346287639105319
ctrx_quarter_lag1	0.0141877180697385	0.00142322708136053	0.00127496812579686
ctarjeta_debito_transacciones	0.013664398889118	0.00367496704651206	0.000775212101178952
vmr_mpagospesos	0.0131245558682664	0.00279135514123816	0.00249878012308952
Visa_Finiciomora_tend12	0.0129809902149324	0.00809050932784351	0.00232563630353686
cpayroll_trx	0.0107786613330936	0.00390827885980664	0.000291196423793109
cdescubierto_preacordado_tend12	0.00970667829503742	0.00612602311957977	0.00113330500070832
cpayroll_trx_lag2	0.00895950206483303	0.00348446328444262	0.000594198108010263
ctrx_quarter_delta2	0.00793389403410686	0.00502445852845068	0.00552486187845304
ccomisiones_mantenimiento_tend12	0.00773587091542632	0.00663293655304449	0.00272701515795438
active_quarter	0.00698245180790395	0.00153176886948601	0.0016015803308621
Visa_status_tend12	0.00645258506146988	0.0031822270364842	0.0012080716500606
thomebanking_lag2	0.00576389168393015	0.00383655404182524	0.0130959688970739
Visa_cconsumos_tend12	0.00561132207680223	0.00519115706492615	0.010758527333113
ctrx_quarter_normalizado_delta1	0.00552232763073097	0.00286021847216299	0.00197934866443154
thomebanking	0.0054153286628022	0.0032677072741983	0.0113842061355874
ctransferencias_recibidas_tend12	0.00537790384430234	0.00603650353956622	0.0113094394862351
cprestamos_personales_tend12	0.00536126814249937	0.00478007480092469	0.0013654751223812
cmobile_app_trx_tend12	0.00471316872567878	0.00722754946622212	0.00977869071791724
