envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	-21000	-21000	-21000	-21000	-21000	-21000	
8	-24000	-24000	-24000	-24000	-24000	-24000	
9	-27000	-27000	-27000	-27000	-27000	-27000	
10	-30000	-30000	-30000	-30000	-30000	-30000	
11	-33000	-33000	-33000	-33000	-33000	-33000	
12	-36000	-36000	-36000	-36000	-36000	-36000	
13	-39000	-39000	-39000	-39000	-39000	-39000	
14	-42000	-42000	-42000	-42000	-42000	-42000	
15	-45000	-45000	-45000	-45000	-45000	-45000	
16	-48000	-48000	-48000	-48000	-48000	-48000	
17	-51000	-51000	-51000	-51000	-51000	-51000	
18	-54000	-54000	-54000	-54000	-54000	-54000	
19	-57000	-57000	-57000	-57000	-57000	-57000	
20	-60000	-60000	-60000	-60000	-60000	-60000	
21	-63000	-63000	-63000	-63000	-63000	-63000	
22	-66000	-66000	-66000	-66000	-66000	-66000	
23	-69000	-69000	-69000	-69000	-69000	-69000	
24	-72000	-72000	-72000	-72000	-72000	-72000	
25	-75000	-75000	-75000	-75000	-75000	-75000	
26	-78000	-78000	-78000	-78000	-78000	-78000	
27	-81000	-81000	-81000	-81000	-81000	-81000	
28	-84000	-84000	-84000	-84000	-84000	-84000	
29	-87000	-87000	-87000	-87000	-87000	-87000	
30	-90000	-90000	-90000	-90000	-90000	-90000	
31	-93000	-93000	-93000	-93000	-93000	-93000	
32	-72000	-96000	-96000	-96000	24000	-96000	
33	-75000	-99000	-99000	-99000	21000	-99000	
34	-78000	-102000	-102000	-102000	18000	-102000	
35	-81000	-105000	-105000	-105000	15000	-105000	
36	-84000	-108000	-108000	-108000	12000	-108000	
37	-87000	-111000	-111000	-111000	9000	-111000	
38	-90000	-114000	-114000	-114000	6000	-114000	
39	-93000	-117000	-117000	-117000	3000	-117000	
40	-72000	-120000	-120000	-120000	120000	-120000	
41	-75000	-123000	-123000	-123000	117000	-123000	
42	-78000	-126000	-126000	-126000	114000	-126000	
43	-81000	-129000	-129000	-129000	111000	-129000	
44	-84000	-132000	-132000	-132000	108000	-132000	
45	-87000	-135000	-135000	-135000	105000	-135000	
46	-90000	-138000	-138000	-138000	102000	-138000	
47	-93000	-141000	-141000	-141000	99000	-141000	
48	-96000	-144000	-144000	-144000	96000	-144000	
49	-75000	-147000	-147000	-27000	93000	-147000	
50	-54000	-150000	-150000	-30000	210000	-150000	
51	-33000	-153000	-153000	-33000	207000	-33000	
52	-36000	-156000	-156000	-36000	204000	-36000	
53	-39000	-159000	-159000	-39000	201000	-39000	
54	-42000	-162000	-162000	-42000	198000	-42000	
55	-45000	-165000	-165000	-45000	195000	-45000	
56	-24000	-48000	-168000	-48000	192000	-48000	
57	-3000	-51000	-51000	-51000	189000	-51000	
58	-6000	-54000	-54000	-54000	186000	-54000	
59	15000	-57000	-57000	-57000	183000	63000	
60	12000	-60000	-60000	-60000	180000	60000	
61	33000	-63000	-63000	57000	177000	57000	
62	30000	-66000	-66000	54000	174000	54000	
63	27000	-69000	-69000	51000	171000	51000	
64	24000	-72000	-72000	48000	168000	48000	
65	45000	45000	-75000	45000	165000	45000	
